Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,AGE,Tag Number,Adipose Fin Present (Y/N),Notes,
MS003,Hansen,3,6/15/2020,25,GSD,Bridge to Tonsina,BT,F,DN,,Y,847,631,3,M,13,,Y,Right Side Scales,
MS003,Hansen,3,6/15/2020,25,GSD,Bridge to Tonsina,BT,F,DN,,Y,747,555,4,F,13,,Y,,
MS003,Hansen,3,6/15/2020,25,GSD,Bridge to Tonsina,BT,F,DN,,Y,828,624,5,M,E3,,Y,,
MS003,Hansen,3,6/15/2020,25,GSD,Bridge to Tonsina,BT,F,DN,,Y,814,606,6,M,13,,Y,,
MS003,Hansen,3,6/15/2020,25,GSD,Bridge to Tonsina,BT,F,DN,,Y,739,550,7,F,13,,Y,,
MS003,Hansen,3,6/15/2020,25,GSD,Bridge to Tonsina,BT,F,DN,,Y,699,513,8,M,12,,Y,,
CS005,Martin,2,6/16/2020,25,GSD,Tonsina to Gakona,TG,F ,FW,1,Y,587,459,1,M,12,9938,Y,Yellow tag,
CS006,Martin,2,6/17/2020,25,GSD,Gakona to Slana,GS,F ,FW,91,Y ,710,445,1,M,E6,,Y,,
AP005,Mikkelsen,3,6/18/2020,25,CSD,Below Bridge,BB,S,DN,,Y,936,663,1,M,14,,Y,,
BP004,DeLaune,3,6/18/2020,25,CSD,Below Bridge,BB,S,DN,,Y,855,660,1,F,13,,Y,,
BP004,DeLaune,3,6/18/2020,25,CSD,Below Bridge,BB,S,DN,,Y,714,538,2,M,E3,,Y,,
AP006,Mikkelsen,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,779,575,1,M,13,,Y,,
AP006,Mikkelsen,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,726,551,2,M,13,,Y,,
AP006,Mikkelsen,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,638,476,3,M,12,,Y,R SIDE,
AP006,Mikkelsen,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,759,577,4,F,13,,Y,,
AP006,Mikkelsen,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,510,386,5,M,23,,Y,,
AP006,Mikkelsen,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,472,403,6,M,12,10164,Y,Yellow tag,
AS005,Mikkelsen,3,6/19/2020,25,GSD,Bridge to Tonsina,BT,S,FW,75,Y,844,639,1,M,13,,Y,,
BP005,DeLaune,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,1,N/A,13,,Y,NO HEAD,
BP005,DeLaune,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,612,461,2,M,E3,,Y,,
BP005,DeLaune,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,789,612,3,F,13,10298,Y,Yellow tag,
BP005,DeLaune,3,6/19/2020,25,CSD,Below Bridge,BB,S,DN,,Y,605,455,4,M,12,,Y,,
BS004,DeLaune,3,6/19/2020,25,GSD,Bridge to Tonsina,BT,S,DN,,Y,886,675,1,M,14,10601,Y,Yellow tag,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,794,610,1,F,13,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,836,642,2,M,E5,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,705,537,3,F,12,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,4,N/A,14,,Y,NO HEAD,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,840,647,5,M,E3,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,773,591,6,M,23,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,837,622,7,M,13,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,780,602,8,M,23,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,742,581,9,M,13,,Y,,
AP007,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,784,566,10,F,14,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,587,426,1,M,E3,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,2,N/A,E4,,Y,FILLET,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,766,587,3,F,13,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,4,N/A,13,,Y,NO HEAD,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,920,726,5,M,14,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,620,472,6,M,12,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,802,625,7,F,E3,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,803,567,8,F,13,,Y,,
AP008,Mikkelsen,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,568,436,9,M,12,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,615,468,1,M,E6,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,780,582,2,F,E3,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,745,565,3,F,13,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,606,472,4,F,E6,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,902,696,5,F,E4,,Y,RIGHT SIDE SCALES,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,879,665,6,M,E3,,Y,RIGHT SIDE SCALES,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,590,447,7,M,12,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,815,601,8,M,13,,Y,,
