Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,NVE Yellow Tag Number,Adipose Fin Present (Y/N),Notes (include radio tag # in this column),Age
BP004,Williams,3,6/19/2021,25,CSD,Below Bridge,BB,S,DN,,Y,795,603,3,F,,Y,,E3
BP004,Williams,3,6/19/2021,25,CSD,Below Bridge,BB,S,DN,,Y,912,691,4,M,,Y,,1.3
BP004,Williams,3,6/19/2021,25,CSD,Below Bridge,BB,S,DN,,Y,820,626,5,F,,Y,,1.3
BP004,Williams,3,6/19/2021,25,CSD,Below Bridge,BB,S,DN,,Y,850,570,6,M,,Y,,1.3
AP008,Mikkelsen,4,6/26/2021,26,CSD,Below Bridge,BB,S,DN,,Y,685,481,1,M,,,,1.3
CS005,Smelcer,5,6/30/2021,27,GSD,Bridge to Tonsina,BT,F,FW,35,Y,821,635,1,F,,Y,,E2
CS006,Smelcer,6,7/7/2021,28,GSD,Tonsina to Gakona,TG,F,FW,21,Y,813,619,1,F,,Y,,1.3
CS007,Smelcer,6,7/8/2021,28,GSD,Bridge to Tonsina,BT,F,FW,35,Y,872,671,1,F,11812,Y,151.073 A-26,1.3
AS002,Mikkelsen,6,7/10/2021,28,GSD,Bridge to Tonsina,BT,F,FW,115,Y,804,612,1,M,,Y,,E3
AS002,Mikkelsen,6,7/10/2021,28,GSD,Bridge to Tonsina,BT,F,FW,115,Y,803,605,2,F,,,,1.3
AS002,Mikkelsen,6,7/10/2021,28,GSD,Bridge to Tonsina,BT,F,FW,115,Y,764,565,3,M,,,,E3
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,405,312,1,M,,Y,right side,E3
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,547,414,2,M,,Y,,1.2
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,310,245,3,M,,Y,,E4
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,325,248,4,M,,Y,,1.1
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,326,245,5,M,,Y,right side,2.1
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,370,278,6,M,,Y,,E4
AS003,Mikkelsen,6,7/11/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,467,348,7,M,,Y,,1.2
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,803,610,1,M,,Y,,1.1
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,406,314,2,M,,Y,,2.1
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,360,277,3,M,,Y,,1.1
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,385,297,4,M,,Y,,E3
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,335,256,5,M,,Y,,1.1
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,360,282,6,M,,Y,,E3
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,378,215,7,M,,Y,,2.1
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,306,234,8,M,,Y,,1.1
AS004,Mikkelsen,6,7/12/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,305,227,9,M,,Y,,1.1
CS008,Smelcer,7,7/13/2021,29,GSD,Bridge to Tonsina,BT,F,FW,35,Y,380,302,1,M,,Y,,1.1
BS002,Williams,7,7/15/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,584,442,1,M,,Y,,E3
BS002,Williams,7,7/15/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,502,425,2,M,,Y,,1.2
BS002,Williams,7,7/15/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,575,440,3,M,12115,Y,,1.2
BS002,Williams,7,7/15/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,584,442,1,M,,Y,,E5
BS002,Williams,7,7/15/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,502,425,2,M,,Y,,E5
BS002,Williams,7,7/15/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,575,440,3,M,12115,Y,,E5
DS005,Willard,7,7/16/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,358,265,1,M,,Y,,1.1
DS005,Willard,7,7/16/2021,29,GSD,Bridge to Tonsina,BT,F,FW,115,Y,349,266,2,M,,Y,,2.1
DS006,Willard,8,7/21/2021,30,GSD,Bridge to Tonsina,BT,F,FW,115,Y,792,595,1,M,,Y,,E3
DS007,Willard,8,7/22/2021,30,GSD,Bridge to Tonsina,BT,F,FW,110,Y,520,402,1,M,,Y,,1.2
DS007,Willard,8,7/22/2021,30,GSD,Bridge to Tonsina,BT,F,FW,110,Y,364,276,2,M,,Y,,1.1
DS008,Willard,8,7/24/2021,30,GSD,Bridge to Tonsina,BT,F,FW,115,Y,972,690,1,F,,Y,,1.4
AS005,Mikkelsen,8,7/26/2021,31,GSD,Bridge to Tonsina,BT,F,FW,115,Y,813,605,1,F,,Y,,1.3
DS009,Willard,9,7/30/2021,31,GSD,Bridge to Tonsina,BT,F,FW,115,Y,379,285,1,M,,Y,,1.1
DS010,Willard,10,8/4/2021,32,GSD,Bridge to Tonsina,BT,F,FW,110,Y,873,659,1,M,,Y,,1.3
AS006,Mikkelsen,10,8/8/2021,33,GSD,Bridge to Tonsina,BT,F,FW,115,Y,827,525,1,F,,Y,,E3
AS007,Mikkelsen,11,8/10/2021,33,GSD,Bridge to Tonsina,BT,F,FW,115,Y,844,565,1,F,,Y,,1.3
AS008,Mikkelsen,11,8/13/2021,33,GSD,Bridge to Tonsina,BT,F,FW,115,Y,325,246,1,M,,Y,,1.1
DS011,Willard,12,8/22/2021,35,GSD,Bridge to Tonsina,BT,F,FW,115,Y,792,605,1,F,,Y,,E3
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,
