Subdistrict,Fishery,Sample Week,HARVDATE,RED,KING
Glennallen,Federal SUB,2,6/9/2021,,1
Glennallen,Federal SUB,2,6/9/2021,,1
Glennallen,Federal SUB,2,6/9/2021,,1
Glennallen,Federal SUB,2,6/9/2021,,2
Glennallen,Federal SUB,2,6/9/2021,,1
Glennallen,Federal SUB,2,6/9/2021,,1
Glennallen,Federal SUB,2,6/9/2021,,1
Glennallen,Federal SUB,2,6/9/2021,,8
Glennallen,State SUB,2,6/10/2021,14,1
Glennallen,State SUB,2,6/10/2021,11,0
Glennallen,State SUB,2,6/10/2021,15,3
Glennallen,State SUB,2,6/10/2021,10,2
Glennallen,State SUB,2,6/10/2021,10,0
Glennallen,State SUB,2,6/10/2021,12,1
Glennallen,State SUB,2,6/10/2021,16,0
Glennallen,State SUB,2,6/10/2021,62,5
Glennallen,State SUB,2,6/10/2021,24,2
Glennallen,State SUB,2,6/10/2021,12,0
Glennallen,State SUB,2,6/10/2021,27,6
Glennallen,State SUB,2,6/10/2021,20,3
Glennallen,State SUB,2,6/10/2021,20,3
Glennallen,State SUB,2,6/10/2021,60,0
Glennallen,State SUB,2,6/10/2021,41,3
Glennallen,State SUB,2,6/10/2021,23,1
Glennallen,State SUB,2,6/10/2021,0,0
Glennallen,State SUB,2,6/10/2021,3,0
Glennallen,State SUB,2,6/10/2021,5,0
Glennallen,State SUB,2,6/10/2021,0,1
Glennallen,State SUB,2,6/10/2021,50,5
Glennallen,State SUB,2,6/10/2021,42,0
Glennallen,State SUB,2,6/10/2021,5,0
Glennallen,State SUB,2,6/10/2021,2,0
Glennallen,State SUB,2,6/10/2021,13,0
Glennallen,State SUB,2,6/10/2021,98,5
Glennallen,State SUB,2,6/10/2021,9,0
Glennallen,State SUB,2,6/10/2021,0,1
Glennallen,State SUB,2,6/10/2021,20,0
Glennallen,State SUB,2,6/10/2021,5,2
Glennallen,State SUB,2,6/10/2021,0,0
Glennallen,State SUB,2,6/10/2021,8,2
Glennallen,State SUB,2,6/10/2021,86,0
Glennallen,State SUB,2,6/10/2021,3,1
Glennallen,State SUB,2,6/10/2021,20,0
Glennallen,State SUB,2,6/10/2021,2,3
Glennallen,State SUB,2,6/10/2021,11,0
Glennallen,State SUB,2,6/10/2021,0,0
Glennallen,Federal SUB,2,6/10/2021,36,
Glennallen,Federal SUB,2,6/10/2021,12,
Glennallen,Federal SUB,2,6/10/2021,7,
Glennallen,Federal SUB,2,6/10/2021,31,
Glennallen,Federal SUB,2,6/10/2021,3,
Glennallen,Federal SUB,2,6/10/2021,8,
Glennallen,Federal SUB,2,6/10/2021,9,
Glennallen,Federal SUB,2,6/10/2021,10,
Glennallen,Federal SUB,2,6/10/2021,3,
Glennallen,Federal SUB,2,6/10/2021,4,
Glennallen,Federal SUB,2,6/10/2021,4,
Glennallen,Federal SUB,2,6/10/2021,,1
Glennallen,Federal SUB,2,6/10/2021,,1
Glennallen,Federal SUB,2,6/10/2021,,1
Glennallen,Federal SUB,2,6/10/2021,,1
Glennallen,State SUB,2,6/11/2021,12,1
Glennallen,State SUB,2,6/11/2021,20,0
Glennallen,State SUB,2,6/11/2021,26,3
Glennallen,State SUB,2,6/11/2021,40,3
Glennallen,State SUB,2,6/11/2021,15,2
Glennallen,State SUB,2,6/11/2021,116,2
Glennallen,State SUB,2,6/11/2021,35,3
Glennallen,State SUB,2,6/11/2021,6,1
Glennallen,State SUB,2,6/11/2021,5,0
Glennallen,State SUB,2,6/11/2021,10,1
Glennallen,State SUB,2,6/11/2021,4,0
Glennallen,State SUB,2,6/11/2021,391,5
Glennallen,State SUB,2,6/11/2021,33,2
Glennallen,State SUB,2,6/11/2021,40,1
Glennallen,State SUB,2,6/11/2021,36,0
Glennallen,State SUB,2,6/11/2021,40,0
Glennallen,State SUB,2,6/11/2021,6,0
Glennallen,State SUB,2,6/11/2021,12,0
Glennallen,State SUB,2,6/11/2021,30,0
Glennallen,State SUB,2,6/11/2021,29,0
Glennallen,State SUB,2,6/11/2021,0,1
Glennallen,State SUB,2,6/11/2021,29,0
Glennallen,State SUB,2,6/11/2021,21,0
Glennallen,State SUB,2,6/11/2021,15,0
Glennallen,State SUB,2,6/11/2021,8,0
Glennallen,State SUB,2,6/11/2021,47,4
Glennallen,State SUB,2,6/11/2021,1,0
Glennallen,State SUB,2,6/11/2021,22,2
Glennallen,State SUB,2,6/11/2021,15,4
Glennallen,State SUB,2,6/11/2021,3,1
Glennallen,State SUB,2,6/11/2021,35,2
Glennallen,State SUB,2,6/11/2021,18,0
Glennallen,State SUB,2,6/11/2021,20,1
Glennallen,State SUB,2,6/11/2021,0,0
Glennallen,State SUB,2,6/11/2021,52,0
Glennallen,State SUB,2,6/11/2021,6,2
Glennallen,State SUB,2,6/11/2021,4,0
Glennallen,State SUB,2,6/11/2021,23,4
Glennallen,State SUB,2,6/11/2021,24,4
Glennallen,State SUB,2,6/11/2021,2,0
Glennallen,State SUB,2,6/11/2021,11,2
Glennallen,State SUB,2,6/11/2021,84,8
Glennallen,State SUB,2,6/11/2021,18,1
Glennallen,State SUB,2,6/11/2021,18,1
Glennallen,State SUB,2,6/11/2021,21,0
Glennallen,State SUB,2,6/11/2021,33,0
Glennallen,State SUB,2,6/11/2021,3,0
Glennallen,State SUB,2,6/11/2021,14,0
Glennallen,State SUB,2,6/11/2021,4,1
Glennallen,State SUB,2,6/11/2021,0,0
Glennallen,State SUB,2,6/11/2021,12,0
Glennallen,State SUB,2,6/11/2021,12,1
Glennallen,Federal SUB,2,6/11/2021,4,
Glennallen,Federal SUB,2,6/11/2021,8,
Glennallen,Federal SUB,2,6/11/2021,49,
Glennallen,Federal SUB,2,6/11/2021,8,
Glennallen,Federal SUB,2,6/11/2021,12,
Glennallen,Federal SUB,2,6/11/2021,4,
Glennallen,Federal SUB,2,6/11/2021,1,
Glennallen,Federal SUB,2,6/11/2021,9,
Glennallen,Federal SUB,2,6/11/2021,2,
Glennallen,Federal SUB,2,6/11/2021,2,
Glennallen,Federal SUB,2,6/11/2021,10,
Glennallen,Federal SUB,2,6/11/2021,42,
Glennallen,Federal SUB,2,6/11/2021,,2
Glennallen,Federal SUB,2,6/11/2021,,1
Glennallen,Federal SUB,2,6/11/2021,,1
Glennallen,Federal SUB,2,6/11/2021,,1
Glennallen,State SUB,2,6/12/2021,2,0
Glennallen,State SUB,2,6/12/2021,35,2
Glennallen,State SUB,2,6/12/2021,40,3
Glennallen,State SUB,2,6/12/2021,10,1
Glennallen,State SUB,2,6/12/2021,15,0
Glennallen,State SUB,2,6/12/2021,3,0
Glennallen,State SUB,2,6/12/2021,16,2
Glennallen,State SUB,2,6/12/2021,32,1
Glennallen,State SUB,2,6/12/2021,15,0
Glennallen,State SUB,2,6/12/2021,12,0
Glennallen,State SUB,2,6/12/2021,25,0
Glennallen,State SUB,2,6/12/2021,21,0
Glennallen,State SUB,2,6/12/2021,5,0
Glennallen,State SUB,2,6/12/2021,36,0
Glennallen,State SUB,2,6/12/2021,12,0
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,54,0
Glennallen,State SUB,2,6/12/2021,19,0
